Name	Object	Region	Patch	Expansion	Acquisition	Coordinates	underwater	mapCoordinates	Image	ImgName	In game description	Description 2
Deadliest Catcher	Title	Other			Earn the "Crab Boat Crew" bonus during an ocean fishing voyage on the Indigo route. As a party, catch 250 or more crabs (30% bonus).		FALSE					
Big Shell	Mount	Other			Purchased for 8400 Skybuilders' Scrips from Enie.		FALSE				Summon forth your big shell mount, which is ironically rather small. Still quite big for a crab, though. Raised by a Qiqirn culinary connoisseur, this carefree crustacean formed a bond of friendship with its keeper, and in so doing, escaped the cookpot. Though it may not be the most obvious choice for a mount, its smooth, round shell makes it one of the more comfortable.	
Orthos Craklaw	Mount	Other			Gold-tinged Sack (Eureka Orthos)		FALSE				Summon forth your Orthos craklaw. May or may not have participated in famous battles which actually took place in history. Discovered in Eureka Orthos, this specimen of craklaw was imbued with magic in a bid to further harden its carapace. Though that experiment ended in failure, by way of a peculiar side effect, it has attained the power of flight. 	
Crabe de la Crabe	Minion	Other			Waterside Exploration XXVI, XXVII, XXVIII		FALSE				Summon your crabe de la crabe minion. If it were any crabbier, it would...probably still be a crab. Native to Thavnair, this tree-dwelling crab became known to foreign scholars when an Arkasodara clan pointed them out to a visiting crew. So exemplarily crab-like were its features, it was promptly identified as such and given a name to match.	Island Sanctuary: <snip> <snap>
Smallshell	Minion	Other			It's Not Lupus (Gold Medal rating required) Eastern La Noscea, south of Costa del Sol (x31,y34)		FALSE				Summon your smallshell minion. The mere sight of this wee wavekin may cause severe psychological trauma to those who spent years of their lives on faraway shores culling his relatives. As is implied by its name, the smallshell's shell is small. What is not widely known is that unlike normal crabs whose shells grow thicker and, hence, larger as the crabs age, smallshell carapaces actually reduce in size due to erosion over the wavekin's lifespan, until nothing is left but legs.	Island Sanctuary: <click> <munch>
Goldsmith Crab	Item	Other	3.1		Scrip Exchange		FALSE			goldsmithcrab.png	A tiny freshwater crustacean native to the Diadem.	
Helmet Crab	Fish	La Noscea	2.0	ARR	Lower La Noscea: The Salt Strand; Western La Noscea: The Brewer's Beacon	X:17.5 Y:36.0; X:30.3 Y:30.7	FALSE	Lower La Noscea: latitude: 145.5 and longitude: 398.9; Western La Noscea: latitude: 275.25 and longitude: 712.2		helmetcrab.png	This saltwater wavekin, most commonly found in the shallows of the Strait of Merlthor, is protected by a hard shell resembling a helmet.	This saltwater wavekin, most commonly found in the shallows of the Strait of Merlthor, is protected by a hard shell resembling a helmet. Renowned naturalist (assistant) Atelloune claims that (after slaying a few score) the shells share a similarity to those of diremites, and that therefore the two species must be related.
Mitten Crab	Fish	La Noscea	2.0	ARR	Eastern La Noscea: Hidden Falls; East Agelyss River; Raincatcher Gully; Red Mantis Falls; Upper La Noscea: Northeast Bronze Lake; Outer La Noscea: Northwest Bronze Lake; Central Shroud: Everschade; South Shroud: Middle Hathoeva River; Rootslake; Urth's Gift; North Shroud: Proud Creek; Eastern Thanalan: Yugr'am River; Mor Dhona: The Deep Tangle  	X:30.9 Y:23.1; X:20.3 Y:26.1; X:20.5 Y:30.3; X:15.5 Y:27.4;  X:28.2 Y:22.8; X:19.4 Y:18.2; X:15.7 Y:24.2; X:20.2 Y:22.6; X:18.7 Y:28.8; X:32.5 Y:24.1; X:20.9 Y:21.0; X:25.7 Y:22.8; X:13.1 Y:11.7	FALSE	Eastern La Noscea: latitude: 463.5 and longitude: 708.6; latitude: 390.25 and longitude: 473.9;  latitude: 283.5 and longitude: 476.2; latitude: 355.5 and longitude: 354.5; Upper La Noscea: latitude: 458 and longitude: 657.0; Outer La Noscea: latitude: 583.5 and longitude: 448.5; Central Shroud: latitude: 439 and longitude: 359.9; South Shroud: latitude: 659 and longitude: 330.3; latitude: 340.5 and longitude: 263.7; latitude: 590 and longitude: 896.3; North Shroud: latitude: 521 and longitude: 486.7; Eastern Thanalan: latitude: 464.5 and longitude: 591.8; Mor Dhona: latitude: 739.75 and longitude: 292.8		mittencrab.png	The claws of this freshwater crustacean are covered in myriad tiny bristles which provide the illusion that the crab is wearing mittens.	The claws of this freshwater crustacean are covered in myriad tiny bristles which provide the illusion that the crab is wearing mittens.
Mudcrab	Fish	The Black Shroud	2.0	ARR	Eastern La Noscea: The Juggernaut; Central Shroud: Hopeseed Pond, Haukke Manor; South Shroud: Lower Hathoeva River, East Hathoeva River, Goblinblood; North Shroud: Lake Tahtotl; Western Thanalan: The Footfalls; Central Thanalan: The Unholy Heir; Eastern Thanalan: North Drybone, South Drybone; Southern Thanalan: Zahar’ak; Mor Dhona: Singing Shards	X:17.0 Y:31.9; X:14.6 Y:21.3; X:10.9 Y:23.2;  X:18.4 Y:25.0; X:23.9 Y:22.4; X:27.5 Y:21.5; X:17.8 Y:19.9; X:17.3 Y:15.7; X:27.9 Y:19.3; X:13.7 Y:20.9; X:17.1 Y:24.8; X:25.4 Y:21.2; X:29.3 Y:10.3	FALSE	Eastern La Noscea: latitude: 240.5 and longitude: 386.5; Central Shroud: latitude: 508.5 and longitude: 336.9; latitude: 461.5 and longitude: 240.9; South Shroud: latitude: 551.513312 and longitude: 252.1; latitude: 669 and longitude: 496.2; latitude: 710 and longitude: 666.8; North Shroud: latitude: 539.5 and longitude: 423.1; Western Thanalan: latitude: 639 and longitude: 395.98; Central Thanalan: latitude: 553.75 and longitude: 653.2; Eastern Thanalan: latitude: 518.5 and longitude: 313.9; latitude: 417 and longitude: 399.8; Southern Thanalan: latitude: 512 and longitude: 594.9; Mor Dhona: latitude: 768.5 and longitude: 678.2		mudgolem.png	As its name implies, the mudcrab spends most of its life in the muddy freshwater shallows of swamps and moors.	As its name implies, the mudcrab spends most of its life in the muddy freshwater shallows of swamps and moors. There are still some superstitious smallfolk who believe that the wavekin are actually the spawn of golems, and will go out of their way to crush them under rocks upon finding one.
Mushroom Crab	Fish	The Black Shroud	2.0	ARR	East Shroud: Sylphlands	X:26.0 Y:20.9	FALSE	latitude: 517 and longitude: 610.3		mushroomcrab.png	This amazing crab will rub its shell up against funguars to collect spores, which it will then grow on its back. Once the sporelings begin to sprout, the crab will use its claws to slice off the mushrooms and eat them.	This amazing crab will rub its shell against funguars to collect spores, which it will then grow on its back. The fungi are said to induce visions, including those of a famous theologian who, after consuming one, claimed that he had a vision showing him the answer to the meaning of life─that answer being the number 41.
